States,Candidates,Delegates
Iowa,Buttigieg,13
Iowa,Sanders,12
Iowa,Warren ,8
Iowa,Biden,6
Iowa,Bloomberg,0
New Hampshire,Buttigieg,9
New Hampshire,Sanders,9
New Hampshire,Warren ,0
New Hampshire,Biden,0
New Hampshire,Bloomberg,0
Nevada,Buttigieg,3
Nevada,Sanders,24
Nevada,Warren ,0
Nevada,Biden,9
Nevada,Bloomberg,0
South Carolina,Buttigieg,0
South Carolina,Sanders,13
South Carolina,Warren ,0
South Carolina,Biden,35
South Carolina,Bloomberg,0
Alabama,Buttigieg,0
Alabama,Sanders,7
Alabama,Warren ,0
Alabama,Biden,40
Alabama,Bloomberg,1
Arkansas,Buttigieg,0
Arkansas,Sanders,9
Arkansas,Warren ,0
Arkansas,Biden,17
Arkansas,Bloomberg,5
Minnesota,Buttigieg,0
Minnesota,Sanders,26
Minnesota,Warren ,10
Minnesota,Biden,38
Minnesota,Bloomberg,0
North Carolina,Buttigieg,0
North Carolina,Sanders,35
North Carolina,Warren ,2
North Carolina,Biden,65
North Carolina,Bloomberg,1
Oklahoma,Buttigieg,0
Oklahoma,Sanders,13
Oklahoma,Warren ,0
Oklahoma,Biden,21
Oklahoma,Bloomberg,3
Vermont,Buttigieg,0
Vermont,Sanders,11
Vermont,Warren ,0
Vermont,Biden,5
Vermont,Bloomberg,0
Virginia,Buttigieg,0
Virginia,Sanders,31
Virginia,Warren ,2
Virginia,Biden,66
Virginia,Bloomberg,0
California,Buttigieg,0
California,Sanders,167
California,Warren ,5
California,Biden,116
California,Bloomberg,15
Colorado,Buttigieg,0
Colorado,Sanders,20
Colorado,Warren ,1
Colorado,Biden,9
Colorado,Bloomberg,9
Maine,Buttigieg,0
Maine,Sanders,9
Maine,Warren ,4
Maine,Biden,11
Maine,Bloomberg,0
Massachusetts ,Buttigieg,0
Massachusetts ,Sanders,29
Massachusetts ,Warren ,25
Massachusetts ,Biden,37
Massachusetts ,Bloomberg,0
Tennessee,Buttigieg,0
Tennessee,Sanders,15
Tennessee,Warren ,1
Tennessee,Biden,29
Tennessee,Bloomberg,8
Texas,Buttigieg,0
Texas,Sanders,72
Texas,Warren ,1
Texas,Biden,81
Texas,Bloomberg,5
Utah,Buttigieg,0
Utah,Sanders,9
Utah,Warren ,0
Utah,Biden,1
Utah,Bloomberg,2
